recordid,longitude,latitude,datetime,event_link,location
690,16.9819276,52.4639522,2020-10-29T00:00:00,https://www.facebook.com/events/887416165398927/,POINT(16.9819276 52.4639522)
691,16.9918457,52.4450178,2020-10-29T00:00:00,https://www.facebook.com/events/887416165398927/,POINT(16.9918457 52.4450178)
692,14.9719305,51.784371,2020-10-29T00:00:00,https://www.facebook.com/events/284678375999969/,POINT(14.9719305 51.784371)
693,19.4786425,51.7613736,2020-10-29T00:00:00,https://www.facebook.com/events/3393388290759689/,POINT(19.4786425 51.7613736)
694,18.8928174,50.1792383,2020-10-29T00:00:00,https://www.facebook.com/events/452492992459277/,POINT(18.8928174 50.1792383)
695,16.9265404,52.4180997,2020-10-29T00:00:00,https://www.facebook.com/events/379529466429021/,POINT(16.9265404 52.4180997)
696,17.0179375,51.1195241,2020-10-29T00:00:00,https://www.facebook.com/events/376636736792304/,POINT(17.0179375 51.1195241)
697,16.3803948,52.7103395,2020-10-29T00:00:00,https://www.facebook.com/events/2790756904578152/,POINT(16.3803948 52.7103395)
698,16.4852922,50.8537448,2020-10-29T00:00:00,,POINT(16.4852922 50.8537448)
699,17.0275168,51.1060926,2020-10-29T00:00:00,https://www.facebook.com/events/1050768862048016/,POINT(17.0275168 51.1060926)
700,18.5754585,54.4190113,2020-10-29T00:00:00,https://www.facebook.com/events/389074295470796/,POINT(18.5754585 54.4190113)
701,18.5698803,54.4395844,2020-10-29T00:00:00,https://www.facebook.com/events/359916635328863/,POINT(18.5698803 54.4395844)
702,18.1037551,54.5660207,2020-10-29T00:00:00,https://www.facebook.com/events/1020178785072066/,POINT(18.1037551 54.5660207)
703,18.2404301,54.6002222,2020-10-29T00:00:00,https://www.facebook.com/events/1020178785072066/,POINT(18.2404301 54.6002222)
704,19.0295929,53.9208518,2020-10-29T00:00:00,https://www.facebook.com/hashtag/sztumskistrajkkobiet,POINT(19.0295929 53.9208518)
705,18.5760979,54.2787562,2020-10-29T00:00:00,https://www.facebook.com/events/675293436748094/,POINT(18.5760979 54.2787562)
706,18.4086339,54.7180477,2020-10-29T00:00:00,https://www.facebook.com/hashtag/puckjestkobiet%C4%85,POINT(18.4086339 54.7180477)
707,4.38510260000003,50.8437331,2020-10-29T00:00:00,https://www.facebook.com/events/3125024334270145/,POINT(4.38510260000003 50.8437331)
708,19.0666242,49.8361072,2020-10-29T00:00:00,https://www.facebook.com/czarny.protest.BB/posts/2574386466185692,POINT(19.0666242 49.8361072)
709,18.855637,50.448191,2020-10-29T00:00:00,https://www.facebook.com/events/727914088075116/,POINT(18.855637 50.448191)
710,18.4066049,54.794006,2020-10-29T00:00:00,https://www.facebook.com/TrojmiejskaAkcjaKobieca/posts/2778429649068264,POINT(18.4066049 54.794006)
711,-3.70379019999995,40.4167754,2020-10-29T00:00:00,https://www.facebook.com/events/3826881210658153/,POINT(-3.70379019999995 40.4167754)
712,21.1663594,51.4112899,2020-10-29T00:00:00,https://www.facebook.com/events/770061573551251/,POINT(21.1663594 51.4112899)
713,18.8590034,50.2621938,2020-10-29T00:00:00,https://www.facebook.com/events/379120113222402/,POINT(18.8590034 50.2621938)
714,20.996827,50.014528,2020-10-29T00:00:00,https://www.facebook.com/events/390730988720851/,POINT(20.996827 50.014528)
715,20.9824753148194,52.2736156750847,2020-10-29T00:00:00,https://www.facebook.com/events/3281151288678940/,POINT(20.9824753148194 52.2736156750847)
716,14.2626822,53.9201433,2020-10-29T00:00:00,https://www.facebook.com/events/725970377990533/,POINT(14.2626822 53.9201433)
717,22.3830241,51.927158,2020-10-29T00:00:00,https://www.facebook.com/events/399220267906269/,POINT(22.3830241 51.927158)
718,16.807668,52.3657683,2020-10-29T00:00:00,https://www.facebook.com/events/2629155773968555/,POINT(16.807668 52.3657683)
719,18.0240485,50.4906175,2020-10-29T00:00:00,https://www.facebook.com/events/835065737269909/,POINT(18.0240485 50.4906175)
720,17.91972,52.95211,2020-10-29T00:00:00,https://www.facebook.com/events/425395988856885/,POINT(17.91972 52.95211)
721,13.2765899660422,52.4845099879822,2020-10-28T09:22:59.981,https://fb.me/e/5slNY9Hjb?ti=cl,POINT(13.2765899660422 52.4845099879822)
722,19.9624122656244,50.8554359457075,2020-10-28T16:30:00,https://fb.me/e/3SxKItdBf,POINT(19.9624122656244 50.8554359457075)
723,19.4579299909332,51.7609400170673,2020-10-28T10:59:59.971,https://www.facebook.com/events/417451956100553/,POINT(19.4579299909332 51.7609400170673)
724,17.499937438,51.971142898,2020-10-28T16:59:59.971,,POINT(17.499937438 51.971142898)
725,19.8253811772528,53.2623434323368,2020-10-28T18:00:00,,POINT(19.8253811772528 53.2623434323368)
726,21.7418527364242,54.2109976222988,2020-10-28T16:59:59.971,https://www.facebook.com/DziewuchyWegorzewo/,POINT(21.7418527364242 54.2109976222988)
727,20.633204,52.1029094,2020-10-28T00:00:00,https://www.facebook.com/events/638890486784820/,POINT(20.633204 52.1029094)
728,24.938379,60.1698557,2020-10-28T00:00:00,https://www.facebook.com/events/3214913015284048/,POINT(24.938379 60.1698557)
729,6.12958300000002,49.815273,2020-10-28T00:00:00,https://www.facebook.com/events/353465405975762/,POINT(6.12958300000002 49.815273)
730,19.2097782,50.0343982,2020-10-28T00:00:00,https://www.facebook.com/events/685868002036241/,POINT(19.2097782 50.0343982)
731,22.2060658,49.5550187,2020-10-28T00:00:00,,POINT(22.2060658 49.5550187)
732,18.2258318,53.0832531,2020-10-28T00:00:00,https://www.facebook.com/events/667669740619289/,POINT(18.2258318 53.0832531)
733,19.4939579,49.8827856,2020-10-28T00:00:00,https://www.facebook.com/events/389409872109754/,POINT(19.4939579 49.8827856)
734,16.9148091,51.3009866,2020-10-28T00:00:00,https://www.facebook.com/events/1348562295490148/,POINT(16.9148091 51.3009866)
